기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20241,11110515,청운효자동,CS100010,커피-음료,125,10,4,1
20241,11110530,사직동,CS100010,커피-음료,179,16,7,44
20241,11110540,삼청동,CS100010,커피-음료,89,3,4,11
20241,11110550,부암동,CS100010,커피-음료,43,2,1,4
20241,11110560,평창동,CS100010,커피-음료,24,2,0,4
20241,11110570,무악동,CS100010,커피-음료,6,0,0,6
20241,11110580,교남동,CS100010,커피-음료,13,0,1,13
20241,11110600,가회동,CS100010,커피-음료,78,4,4,8
20241,11110615,종로1·2·3·4가동,CS100010,커피-음료,390,11,14,94
20241,11110630,종로5·6가동,CS100010,커피-음료,79,1,2,24
20241,11110640,이화동,CS100010,커피-음료,85,6,3,29
20241,11110650,혜화동,CS100010,커피-음료,126,8,5,33
20241,11110670,창신1동,CS100010,커피-음료,22,1,1,7
20241,11110680,창신2동,CS100010,커피-음료,13,1,2,2
20241,11110690,창신3동,CS100010,커피-음료,6,0,0,1
20241,11110700,숭인1동,CS100010,커피-음료,4,2,1,7
20241,11110710,숭인2동,CS100010,커피-음료,17,1,2,14
20241,11140520,소공동,CS100010,커피-음료,124,5,2,60
20241,11140540,회현동,CS100010,커피-음료,104,7,2,30
20241,11140550,명동,CS100010,커피-음료,225,12,8,115
20241,11140570,필동,CS100010,커피-음료,80,4,4,32
20241,11140580,장충동,CS100010,커피-음료,26,1,2,7
20241,11140590,광희동,CS100010,커피-음료,117,6,5,29
20241,11140605,을지로동,CS100010,커피-음료,106,12,7,33
20241,11140615,신당동,CS100010,커피-음료,40,3,1,23
20241,11140625,다산동,CS100010,커피-음료,41,0,2,10
20241,11140635,약수동,CS100010,커피-음료,23,2,1,9
20241,11140645,청구동,CS100010,커피-음료,16,0,2,1
20241,11140650,신당5동,CS100010,커피-음료,16,1,3,5
20241,11140665,동화동,CS100010,커피-음료,22,0,0,3
20241,11140670,황학동,CS100010,커피-음료,25,2,1,10
20241,11140680,중림동,CS100010,커피-음료,35,3,1,14
20241,11170510,후암동,CS100010,커피-음료,62,7,3,5
20241,11170520,용산2가동,CS100010,커피-음료,67,1,1,10
20241,11170530,남영동,CS100010,커피-음료,70,3,4,19
20241,11170555,청파동,CS100010,커피-음료,75,6,9,22
20241,11170560,원효로1동,CS100010,커피-음료,49,0,3,9
20241,11170570,원효로2동,CS100010,커피-음료,18,5,3,7
20241,11170580,효창동,CS100010,커피-음료,17,0,2,1
20241,11170590,용문동,CS100010,커피-음료,15,1,1,4
20241,11170625,한강로동,CS100010,커피-음료,224,13,6,56
20241,11170630,이촌1동,CS100010,커피-음료,9,0,0,4
20241,11170640,이촌2동,CS100010,커피-음료,12,3,2,1
20241,11170650,이태원1동,CS100010,커피-음료,59,4,2,21
20241,11170660,이태원2동,CS100010,커피-음료,61,4,5,3
20241,11170685,한남동,CS100010,커피-음료,132,5,4,14
20241,11170690,서빙고동,CS100010,커피-음료,20,1,0,1
20241,11170700,보광동,CS100010,커피-음료,22,0,4,3
20241,11200520,왕십리2동,CS100010,커피-음료,22,0,1,3
20241,11200535,왕십리도선동,CS100010,커피-음료,45,3,1,28
20241,11200540,마장동,CS100010,커피-음료,24,2,0,5
20241,11200550,사근동,CS100010,커피-음료,68,6,3,27
20241,11200560,행당1동,CS100010,커피-음료,36,2,2,17
20241,11200570,행당2동,CS100010,커피-음료,11,0,1,5
20241,11200580,응봉동,CS100010,커피-음료,7,0,0,2
20241,11200590,금호1가동,CS100010,커피-음료,13,0,1,4
20241,11200615,금호2·3가동,CS100010,커피-음료,26,3,1,6
20241,11200620,금호4가동,CS100010,커피-음료,19,1,0,8
20241,11200645,옥수동,CS100010,커피-음료,19,0,4,6
20241,11200650,성수1가1동,CS100010,커피-음료,64,2,3,15
20241,11200660,성수1가2동,CS100010,커피-음료,199,10,5,27
20241,11200670,성수2가1동,CS100010,커피-음료,91,2,3,14
20241,11200690,성수2가3동,CS100010,커피-음료,160,15,13,38
20241,11200720,송정동,CS100010,커피-음료,21,1,1,2
20241,11200790,용답동,CS100010,커피-음료,29,1,2,11
20241,11215710,화양동,CS100010,커피-음료,156,7,6,46
20241,11215730,군자동,CS100010,커피-음료,62,3,4,25
20241,11215740,중곡1동,CS100010,커피-음료,45,5,4,3
20241,11215750,중곡2동,CS100010,커피-음료,41,4,4,10
20241,11215760,중곡3동,CS100010,커피-음료,38,5,6,11
20241,11215770,중곡4동,CS100010,커피-음료,42,1,2,10
20241,11215780,능동,CS100010,커피-음료,26,2,2,9
